,name,company,year,Price,kms_driven,fuel_type
59,Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"85,000","29,685 kms",Petrol
60,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
61,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
62,Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 kms",Diesel
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000","24,530 kms",Diesel
64,Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 kms",Diesel
65,Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,70,000","19,000 kms",Diesel
66,Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000","60,000 kms",Petrol
67,Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000","60,000 kms",Petrol
68,Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000","30,000 kms",Petrol
69,I want to sell my car Tata Zest,I,2017,Ask For Price,,
70,Chevrolet Spark LS 1.0,Chevrolet,2010,"1,10,000","41,000 kms",Petrol
71,Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000","35,000 kms",Diesel
72,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
73,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
74,Datsun Redi GO S,Datsun,2017,"2,35,000","16,000 kms",Petrol
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
76,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
77,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
78,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
79,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 kms",Petrol
80,Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel
81,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000","50,000 kms",Diesel
82,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
83,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
84,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
85,I want to sell my car Tata Zest,I,2017,Ask For Price,,
86,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,"12,00,000","3,600 kms",Diesel
87,Hyundai i20 Magna,Hyundai,2009,"1,95,000","32,000 kms",Petrol
88,Toyota Corolla Altis Diesel D4DG,Toyota,2010,"3,51,000","38,000 kms",Diesel
89,Hyundai Verna Transform SX VTVT,Hyundai,2008,"1,60,000","45,000 kms",Petrol
90,Toyota Corolla Altis Petrol Ltd,Toyota,2009,"2,40,000","35,000 kms",Petrol
91,Honda City 1.5 EXi New,Honda,2005,"90,000","50,000 kms",Petrol
92,Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 kms",Petrol
93,Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"1,55,000","45,863 kms",Diesel
94,BMW 3 Series 320i,BMW,2011,"6,00,000","60,500 kms",Petrol
95,Maruti Suzuki A Star Lxi,Maruti,2011,"1,89,500","12,500 kms",Petrol
96,Toyota Etios GD,Toyota,2013,"3,50,000","60,000 kms",Diesel
97,Ford Figo Diesel EXI Option,Ford,2012,"2,10,000","35,000 kms",Diesel
98,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,"3,90,000","35,000 kms",Petrol
99,Chevrolet Beat LT Diesel,Chevrolet,2012,"1,35,000","45,000 kms",Diesel
100,BMW 7 Series 740Li Sedan,BMW,2009,"16,00,000","35,000 kms",Petrol
101,Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"7,01,000","38,000 kms",Diesel
102,Hyundai i10 Magna 1.2,Hyundai,2014,"2,65,000","18,000 kms",Petrol
103,Hyundai Verna Fluidic New,Hyundai,2015,"5,25,000","35,000 kms",Diesel
104,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000","13,349 kms",Petrol
105,Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"6,35,000","29,000 kms",Petrol
106,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,50,000","44,000 kms",Diesel
107,Maruti Suzuki Ertiga Vxi,Maruti,2016,"5,75,000","29,000 kms",Petrol
108,Maruti Suzuki Ertiga VDi,Maruti,2013,"4,85,000","42,000 kms",Diesel
109,Maruti Suzuki Alto LXi BS III,Maruti,2012,"1,55,000","14,000 kms",Petrol
110,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,"3,45,000","49,000 kms",Diesel
111,Honda Amaze 1.2 S i VTEC,Honda,2014,"3,25,000","42,000 kms",Petrol
112,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500","36,200 kms",Diesel
113,Ford Figo Diesel EXI,Ford,2014,"1,95,000","50,000 kms",Diesel
114,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111","55,000 kms",Petrol
115,Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999","45,000 kms",Petrol
116,Maruti Suzuki Esteem LXi BS III,Maruti,2007,"69,999","51,000 kms",Petrol
117,Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999","19,000 kms",Petrol
118,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
119,Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999","33,000 kms",Diesel
120,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000","13,349 kms",Petrol
121,Maruti Suzuki Dzire VDI,Maruti,2015,"4,50,000","1,04,000 kms",Diesel
122,Toyota Etios Liva G,Toyota,2014,"2,70,000","55,000 kms",Petrol
123,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"3,50,000","33,333 kms",Diesel
124,Chevrolet Spark,Chevrolet,2012,"1,58,400","33,600 kms",Petrol
125,Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"3,50,000","5,600 kms",Petrol
126,Nissan Micra XV,Nissan,2011,"1,79,000","41,000 kms",Petrol
127,Maruti Suzuki Swift,Maruti,2007,"1,25,000","70,000 kms",Petrol
128,Maruti Suzuki Alto 800,Maruti,2018,"2,00,000","7,500 kms",Petrol
129,Honda Amaze 1.5 S i DTEC,Honda,2013,"2,99,000","45,000 kms",Diesel
130,Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,20,000","38,000 kms",Petrol
131,Chevrolet Beat,Chevrolet,2015,"1,50,000","30,000 kms",Petrol
132,Toyota Corolla,Toyota,2009,"2,75,000","26,000 kms",
133,Honda City 1.5 V MT,Honda,2010,"2,85,000","35,000 kms",Petrol
134,Ford EcoSport Trend 1.5L TDCi,Ford,2016,"8,30,000","24,330 kms",Diesel
135,Hyundai i20 Asta 1.2,Hyundai,2009,"2,10,000","65,480 kms",Petrol
136,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,"3,40,000","41,000 kms",Petrol
137,Tata Indica V2 eLS,Tata,2006,"90,000","20,000 kms",Petrol
138,Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,"28,028 kms",Petrol
139,Hindustan Motors Ambassador,Hindustan,2000,"70,000","2,00,000 kms",Diesel
140,Toyota Corolla Altis 1.8 GL,Toyota,2010,"2,89,999","70,000 kms",Petrol
141,Toyota Corolla Altis 1.8 J,Toyota,2012,"3,49,999","59,000 kms",Petrol
142,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,"8,49,999","99,000 kms",Diesel
143,Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"7,49,999","46,000 kms",Diesel
144,Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"3,99,999","2,800 kms",Petrol
145,Volkswagen Polo,Volkswagen,2014,"2,74,999","32,000 kms",Petrol
146,Mahindra Scorpio,Mahindra,2015,"9,84,999","22,000 kms",Diesel
147,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
148,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
149,Nissan Sunny,Nissan,2012,"2,24,999","45,000 kms",Petrol
150,Hyundai Elite i20,Hyundai,2018,"5,99,999","21,000 kms",Petrol
151,Renault Kwid,Renault,2016,"2,44,999","11,000 kms",Petrol
152,Renault Duster,Renault,2013,"3,99,999","41,000 kms",Diesel
153,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
154,Renault Duster,Renault,2014,"4,74,999","50,000 kms",Diesel
155,Mahindra Scorpio VLX Airbag,Mahindra,2011,"4,99,999","66,000 kms",Diesel
156,Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,10,000","3,000 kms",Petrol
157,Chevrolet Spark LT 1.0,Chevrolet,2010,"85,000","45,000 kms",Petrol
158,Datsun Redi GO T O,Datsun,2016,"2,45,000","7,000 kms",Petrol
159,Maruti Suzuki Swift RS VDI,Maruti,2010,"1,89,500","38,500 kms",Diesel
160,Fiat Punto Emotion 1.2,Fiat,2012,"1,69,500","37,200 kms",Diesel
161,Maruti Suzuki Swift RS VDI,Maruti,2010,"1,59,500","43,200 kms",Diesel
162,Toyota Etios GD,Toyota,2013,"2,75,000","24,800 kms",Petrol
163,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"3,70,000","60,000 kms",Diesel
164,Hyundai i10 Sportz 1.2,Hyundai,2010,"1,68,000","45,872 kms",Petrol
165,Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"1,50,000","40,000 kms",Diesel
166,Chevrolet Beat LS Diesel,Chevrolet,2011,"1,45,000","45,000 kms",Diesel
167,Chevrolet Beat LT Diesel,Chevrolet,2012,"98,500","38,000 kms",Diesel
168,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000","50,000 kms",Diesel
169,Tata Indigo CS,Tata,2011,"85,000","11,400 kms",Diesel
170,Toyota Corolla Altis 1.8 J,Toyota,2015,"5,75,000","42,000 kms",Petrol
171,Honda City 1.5 V MT,Honda,2014,"5,49,000","39,000 kms",Petrol
172,Maruti Suzuki Swift VDi,Maruti,2011,"2,09,000","47,000 kms",Diesel
173,Hyundai Eon Era Plus,Hyundai,2013,"1,85,000","27,000 kms",Petrol
174,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
175,Mahindra XUV500,Mahindra,2014,"6,99,999","52,000 kms",Diesel
176,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
177,Ford Fiesta,Ford,2011,"2,74,999","55,000 kms",Diesel
178,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
179,Honda City,Honda,2015,"5,99,999","30,000 kms",Diesel
180,Maruti Suzuki Wagon R,Maruti,2012,"1,99,999","44,000 kms",Petrol
181,Honda City,Honda,2014,"5,44,999","45,000 kms",Diesel
182,Hyundai i20,Hyundai,2009,"1,99,000","31,000 kms",Petrol
183,Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
184,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000","38,000 kms",Diesel
185,"Commercial , DZire LDI, 2016, for sale",Commercial,...,Ask For Price,,
186,Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
187,Fiat Petra ELX 1.2 PS,Fiat,2008,"75,000","65,000 kms",Petrol
188,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
189,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
190,Hyundai Santro Xing XS,Hyundai,2005,"49,000","7,500 kms",Petrol
191,Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"7,00,000","3,350 kms",Petrol
192,Maruti Suzuki Zen VX,Maruti,2000,"55,000","60,000 kms",Petrol
193,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
194,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,"8,95,000","32,000 kms",Petrol
195,"Tata indigo ecs LX, 201",Tata,150k,"1,50,000",,
196,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000","75,000 kms",Diesel
197,Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,65,000","62,000 kms",Diesel
198,Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,"3,65,000","73,000 kms",Diesel
199,Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"1,45,000","41,000 kms",Petrol
200,Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,"2,10,000","35,000 kms",Petrol
201,Tata Nano Cx BSIV,Tata,2013,"40,000","2,200 kms",Petrol
202,Maruti Suzuki Alto Std BS IV,Maruti,2013,"1,25,000","39,000 kms",Petrol
203,Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"1,35,000","45,000 kms",Petrol
204,Maruti Suzuki Swift VXI BSIII,Maruti,2006,"1,35,000","45,000 kms",Petrol
205,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"2,85,000","65,000 kms",Diesel
206,MARUTI SUZUKI DESI,MARUTI,TOUR,"4,00,000",,
207,Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"1,45,000","54,870 kms",Petrol
208,Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,35,000","34,580 kms",Petrol
209,Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"4,50,000","97,000 kms",Diesel
210,Renault Scala RxL Diesel Travelogue,Renault,2015,"3,75,000","25,000 kms",Diesel
211,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
212,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"3,65,000","20,000 kms",Petrol
213,Hyundai i20 Active 1.2 SX,Hyundai,2015,"5,00,000","18,000 kms",Petrol
214,Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 kms",Diesel
215,Mahindra Jeep MM 550 XDB,Mahindra,2019,"3,90,000",60 kms,Diesel
216,Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000","35,000 kms",Diesel
217,Mahindra Bolero SLE BS IV,Mahindra,2013,"3,30,000","80,200 kms",Diesel
218,Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000","3,200 kms",Diesel
219,Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
220,Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 kms",Diesel
221,Maruti Suzuki Alto 800,Maruti,2015,"2,19,000","5,000 kms",Petrol
222,Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588 kms,Diesel
223,Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
224,Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
225,Honda City ZX VTEC,Honda,2008,"1,10,000","45,000 kms",Petrol
226,Maruti Suzuki Wagon R LX BS III,Maruti,2006,"80,000","71,200 kms",Petrol
227,Honda City VX O MT Diesel,Honda,2016,"5,19,000","52,000 kms",Diesel
228,Mahindra Thar CRDe 4x4 AC,Mahindra,2016,"7,30,000","29,000 kms",Diesel
229,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
230,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000","47,000 kms",Petrol
231,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"20,00,000","20,000 kms",Diesel
232,Land Rover Freelander 2 SE,Land,2015,"21,00,000","30,000 kms",Diesel
233,Renault Kwid RXT,Renault,2017,"3,40,000","5,000 kms",Petrol
234,Tata Aria Pleasure 4X2,Tata,2014,"3,90,000","35,000 kms",Diesel
235,Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000","31,000 kms",Petrol
236,Datsun GO T O,Datsun,2016,"2,45,000","7,000 kms",Petrol
237,Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
238,Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,400 kms",Diesel
239,Honda Jazz VX MT,Honda,2016,"4,50,000","41,000 kms",Petrol
240,Honda Amaze 1.2 S i VTEC,Honda,2014,"3,11,000","33,000 kms",Petrol
241,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
242,Honda City,Honda,2012,"3,99,999","45,000 kms",Petrol
243,Honda City,Honda,2015,"5,99,999","39,000 kms",Diesel
244,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
245,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000","47,000 kms",Petrol
246,Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000","3,200 kms",Diesel
247,Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
248,Hyundai i20 Active 1.4L SX O,Hyundai,2015,"5,35,000","37,000 kms",Diesel
249,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
250,Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,"6,99,000","14,000 kms",Petrol
251,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
252,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
253,Hyundai Eon Sportz,Hyundai,2012,"1,78,000","30,000 kms",Petrol
254,Tata Sumo Gold Select Variant,Tata,2013,"3,00,000","50,000 kms",Diesel
255,Maruti Suzuki Wagon R 1.0,Maruti,2003,"90,000","45,000 kms",Petrol
256,Maruti Suzuki Esteem VXi BS III,Maruti,2006,"95,000","45,000 kms",Petrol
257,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,55,000","9,300 kms",Petrol
258,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,"2,45,000","55,000 kms",Diesel
259,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500","36,200 kms",Diesel
260,Ford Figo Diesel EXI,Ford,2014,"1,95,000","50,000 kms",Diesel
261,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111","55,000 kms",Petrol
262,Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999","45,000 kms",Petrol
263,Maruti Suzuki Esteem LXi BS III,Maruti,2007,"69,999","51,000 kms",Petrol
264,Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999","19,000 kms",Petrol
265,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
266,Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999","33,000 kms",Diesel
267,Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999","36,000 kms",Petrol
268,Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,"2,89,999","22,000 kms",Petrol
269,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 kms",Petrol
270,Nissan Terrano XL D Plus,Nissan,2015,"4,99,999","60,000 kms",Diesel
271,Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999","27,000 kms",Diesel
272,Renault Duster 85 PS RxE Diesel,Renault,2014,"4,89,999","59,000 kms",Diesel
273,Renault Duster 85 PS RxL Diesel,Renault,2015,"5,49,999","19,000 kms",Diesel
274,Maruti Suzuki Dzire ZXI,Maruti,2013,"3,80,000","30,000 kms",Petrol
275,Renault Kwid RXT Opt,Renault,2018,"3,25,000","15,000 kms",Petrol
276,Maruti Suzuki Maruti 800 Std,Maruti,2003,"57,000","56,758 kms",Petrol
277,Renault Kwid 1.0 RXT AMT,Renault,2018,"3,49,999","10,000 kms",Petrol
278,Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999","20,000 kms",Diesel
279,Renault Scala RxL Diesel,Renault,2014,"3,49,999","49,000 kms",Diesel
280,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,"4,10,000","41,000 kms",Petrol
281,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"2,25,000","45,000 kms",Petrol
282,Chevrolet Beat LS Petrol,Chevrolet,2010,"1,20,000","43,000 kms",Petrol
283,Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
284,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,"59,000","56,450 kms",Petrol
285,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000","38,000 kms",Diesel
286,"Commercial , DZire LDI, 2016, for sale",Commercial,...,Ask For Price,,
287,Chevrolet Beat LS Petrol,Chevrolet,2010,"80,000","56,000 kms",Petrol
288,Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
289,Fiat Petra ELX 1.2 PS,Fiat,2008,"75,000","65,000 kms",Petrol
290,Chevrolet Beat LS Petrol,Chevrolet,2015,"2,20,000","32,700 kms",Petrol
291,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
292,Ford EcoSport Titanium 1.5L TDCi,Ford,2016,"5,99,000","30,000 kms",Diesel
293,Hyundai Accent GLX,Hyundai,2006,"80,000","56,000 kms",Petrol
294,Yama,Yamaha,r 15,"55,000",,
295,Maruti Suzuki Swift LDi,Maruti,2010,Ask For Price,"52,000 kms",Diesel
296,Mahindra TUV300 T4 Plus,Mahindra,2016,"6,75,000","9,000 kms",Diesel
297,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
298,Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
299,Tata Indica V2 Xeta e GLE,Tata,2008,"1,50,000","11,000 kms",Petrol
300,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
301,Tata Indigo CS LS DiCOR,Tata,2009,"72,500","46,000 kms",Diesel
302,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,"6,10,000",73 kms,Petrol
303,Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,"2,30,000","1,60,000 kms",Diesel
304,Tata Indica eV2 LS,Tata,2017,Ask For Price,"84,000 kms",Diesel
305,Honda Accord,Honda,2009,"1,75,000","58,559 kms",Petrol
306,Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
